geneName,logFC,AveExpr,t,P.Value,adj.P.Val,B,group,FC.group
ENSG00000177707,1.700433833683927,-1.0677583283186438,3.156270052469344,0.008543203805715344,0.02935755489600364,-3.357792439645121,TB,up
ENSG00000095739,0.838428867413203,1.1976545691550167,3.1560914821046198,0.008546000348721272,0.029359314750538837,-3.3581194621858423,TB,up
ENSG00000005893,0.18682418208440152,7.902555697538924,3.1556945227857933,0.008552220330976891,0.029372831558983167,-3.3588464238628877,TB,up
ENSG00000197965,0.29970392942773616,6.192374099706529,3.1552619944129323,0.008559002845051365,0.029388272659524487,-3.3596385167121685,TB,up
ENSG00000179862,0.4779071575238517,-0.25146195516105335,3.154668669863106,0.008568315643485543,0.029412391199272487,-3.3607250644738733,TB,up
ENSG00000143119,0.1402013333624038,8.756775899633425,3.1525349623233425,0.00860189076745529,0.029519759717846563,-3.3646323762589607,TB,up
ENSG00000138138,0.1921364363587129,5.133700838838147,3.152086600022308,0.008608962859891238,0.0295347903461864,-3.365453407307392,TB,up
ENSG00000101974,0.2738278512187261,4.902094320774571,3.1519659593096105,0.008610866746588893,0.0295347903461864,-3.3656743204625816,TB,up
ENSG00000090054,0.13643954227736677,6.333857090081792,3.1511757928577366,0.008623347229542977,0.02956970613502837,-3.367121231294651,TB,up
ENSG00000174799,0.2580381625262987,4.580041172594429,3.1502183686597527,0.008638493950482828,0.02961374346535218,-3.3688743806420667,TB,up
ENSG00000112367,-0.28561527038372625,6.602618558710195,-3.149593796369618,0.008648389315784218,0.029638281696791138,-3.3700180206827075,TB,down
ENSG00000161647,0.5923381446754936,-0.3763272966371848,3.1493843804170134,0.008651709739993697,0.029638281696791138,-3.3704014737697374,TB,up
ENSG00000163812,-0.1084399042284764,7.273544820880211,-3.1493301217430205,0.008652570255708088,0.029638281696791138,-3.3705008243332295,TB,down
ENSG00000198740,-0.5849568878168424,4.2629901139975175,-3.1488222902721326,0.0086606283963341,0.02965660111667978,-3.3714306851693747,TB,down
