MDM.1,MDM.2,MDM.3,MDM.4,MDM.5,MDM.6,MDM.7,MDM.8,MDM.9,MDM.10,MDM.11,MDM.12,MDM.13,MDM.14,MDM.15,MDM.16
ENSG00000078618,ENSG00000188641,ENSG00000163191,ENSG00000055917,ENSG00000143919,ENSG00000135976,ENSG00000144681,ENSG00000115165,ENSG00000063438,ENSG00000175455,ENSG00000189043,ENSG00000111912,ENSG00000157483,ENSG00000170468,ENSG00000175691,
ENSG00000134717,ENSG00000156869,ENSG00000143621,ENSG00000084693,ENSG00000095002,ENSG00000273045,ENSG00000168028,ENSG00000115267,ENSG00000180104,ENSG00000177646,ENSG00000106591,ENSG00000189007,ENSG00000129007,ENSG00000140157,ENSG00000171469,
ENSG00000162385,ENSG00000162688,ENSG00000143549,ENSG00000162961,ENSG00000162994,ENSG00000136717,ENSG00000177479,ENSG00000138385,ENSG00000171368,ENSG00000119227,ENSG00000196313,ENSG00000122335,ENSG00000140398,ENSG00000137776,ENSG00000197044,
ENSG00000162402,ENSG00000122477,ENSG00000143515,ENSG00000021574,ENSG00000082898,ENSG00000169967,ENSG00000067560,ENSG00000128656,ENSG00000043143,ENSG00000185818,ENSG00000106178,ENSG00000185345,ENSG00000169592,ENSG00000103855,ENSG00000132004,
ENSG00000177606,ENSG00000137992,ENSG00000173080,ENSG00000115904,ENSG00000170264,ENSG00000183091,ENSG00000126062,ENSG00000036257,ENSG00000184584,ENSG00000125089,ENSG00000164647,ENSG00000184465,ENSG00000125122,ENSG00000073417,ENSG00000076650,
ENSG00000116641,ENSG00000162694,ENSG00000163479,ENSG00000138036,ENSG00000135617,ENSG00000196151,ENSG00000114737,ENSG00000135930,ENSG00000131507,ENSG00000174130,ENSG00000001630,ENSG00000106460,ENSG00000171962,ENSG00000140678,ENSG00000197050,
ENSG00000162434,ENSG00000117543,ENSG00000160803,ENSG00000171132,ENSG00000163013,ENSG00000196659,ENSG00000168297,ENSG00000188389,ENSG00000134516,ENSG00000163683,ENSG00000122786,ENSG00000105968,ENSG00000176749,ENSG00000140829,ENSG00000176401,
ENSG00000162433,ENSG00000185946,ENSG00000163468,ENSG00000151665,ENSG00000114993,ENSG00000178562,ENSG00000153283,ENSG00000150995,ENSG00000113761,ENSG00000138778,ENSG00000122778,ENSG00000213462,ENSG00000167925,ENSG00000076604,ENSG00000168995,
ENSG00000184588,ENSG00000162639,ENSG00000160818,ENSG00000162869,ENSG00000115289,ENSG00000030419,ENSG00000144824,ENSG00000163719,ENSG00000146094,ENSG00000073331,ENSG00000147119,ENSG00000001629,ENSG00000141560,ENSG00000176624,ENSG00000069998,
ENSG00000198160,ENSG00000134222,ENSG00000158710,ENSG00000170634,ENSG00000168906,ENSG00000138375,ENSG00000144848,ENSG00000144674,ENSG00000177932,ENSG00000164066,ENSG00000182872,ENSG00000006453,ENSG00000141441,ENSG00000089123,ENSG00000100084,
ENSG00000116704,ENSG00000174151,ENSG00000132185,ENSG00000221823,ENSG00000115525,ENSG00000180871,ENSG00000144843,ENSG00000114480,ENSG00000111801,ENSG00000170390,ENSG00000086758,ENSG00000135272,ENSG00000150477,ENSG00000104885,ENSG00000205758,
ENSG00000116717,ENSG00000134255,ENSG00000143179,ENSG00000119865,ENSG00000132300,ENSG00000179921,ENSG00000173706,ENSG00000196776,ENSG00000137218,ENSG00000164104,ENSG00000198455,ENSG00000131558,ENSG00000197563,ENSG00000125730,,
ENSG00000116754,ENSG00000282608,ENSG00000117560,ENSG00000163219,ENSG00000132313,ENSG00000158552,ENSG00000058262,ENSG00000114446,ENSG00000112305,ENSG00000073578,ENSG00000188419,ENSG00000205060,ENSG00000141655,ENSG00000229833,,
ENSG00000137955,ENSG00000134245,ENSG00000116260,ENSG00000169604,ENSG00000174501,ENSG00000124019,ENSG00000175110,ENSG00000163608,ENSG00000135297,ENSG00000145604,ENSG00000102038,ENSG00000146858,ENSG00000141665,ENSG00000130158,,
ENSG00000162613,ENSG00000163393,ENSG00000135829,ENSG00000116001,ENSG00000198885,ENSG00000132330,ENSG00000163577,ENSG00000176542,ENSG00000146376,ENSG00000152620,ENSG00000134602,ENSG00000101911,ENSG00000101391,ENSG00000167604,,
ENSG00000153898,ENSG00000116830,ENSG00000163395,ENSG00000124357,ENSG00000121152,ENSG00000168427,ENSG00000078081,ENSG00000121578,ENSG00000118508,ENSG00000049167,ENSG00000147274,ENSG00000173698,ENSG00000171695,ENSG00000123810,,
ENSG00000142867,ENSG00000271601,ENSG00000134375,ENSG00000124374,ENSG00000196912,ENSG00000144485,ENSG00000176597,ENSG00000121577,ENSG00000049618,ENSG00000113318,ENSG00000155966,ENSG00000184675,ENSG00000176490,ENSG00000104783,,
ENSG00000097033,ENSG00000121851,ENSG00000182004,ENSG00000075292,ENSG00000170417,ENSG00000188542,ENSG00000090520,ENSG00000114554,ENSG00000112531,ENSG00000113391,ENSG00000160131,ENSG00000147099,ENSG00000132005,ENSG00000134815,,
ENSG00000137947,ENSG00000271425,ENSG00000117597,ENSG00000135636,ENSG00000163006,ENSG00000134072,ENSG00000127418,ENSG00000177311,ENSG00000198286,ENSG00000185261,ENSG00000180879,ENSG00000198157,ENSG00000256771,ENSG00000204673,,
ENSG00000137944,ENSG00000131781,ENSG00000067533,ENSG00000144036,ENSG00000172985,ENSG00000156990,ENSG00000145220,ENSG00000114127,ENSG00000136247,ENSG00000133302,ENSG00000164741,ENSG00000212747,ENSG00000213988,ENSG00000104946,,
ENSG00000213516,ENSG00000188092,ENSG00000181218,ENSG00000144040,ENSG00000169679,ENSG00000163701,ENSG00000163145,ENSG00000152952,ENSG00000173041,ENSG00000173930,ENSG00000147535,ENSG00000269556,ENSG00000160229,ENSG00000128191,,
ENSG00000117228,ENSG00000178096,ENSG00000135763,ENSG00000179528,ENSG00000076003,ENSG00000163704,ENSG00000002549,ENSG00000163751,ENSG00000197008,ENSG00000112874,ENSG00000172817,ENSG00000104613,ENSG00000105750,ENSG00000169635,,
ENSG00000162645,ENSG00000136631,ENSG00000143633,ENSG00000115548,ENSG00000144283,ENSG00000187118,ENSG00000163682,ENSG00000120742,ENSG00000188186,ENSG00000132570,ENSG00000104343,ENSG00000275074,ENSG00000172687,ENSG00000100097,,
ENSG00000162654,ENSG00000163125,ENSG00000119285,ENSG00000172086,ENSG00000172878,ENSG00000008226,ENSG00000109814,ENSG00000163904,ENSG00000146828,ENSG00000197226,ENSG00000147679,ENSG00000186918,ENSG00000166359,ENSG00000185022,,
ENSG00000162664,ENSG00000143412,ENSG00000091483,ENSG00000144026,ENSG00000162999,ENSG00000178917,ENSG00000078177,ENSG00000073792,ENSG00000128513,ENSG00000111837,ENSG00000189376,ENSG00000104327,ENSG00000011590,ENSG00000173276,,
ENSG00000122406,ENSG00000143363,ENSG00000035687,ENSG00000071073,ENSG00000204262,ENSG00000186446,ENSG00000168421,ENSG00000182899,ENSG00000257093,ENSG00000124532,ENSG00000132294,ENSG00000186106,ENSG00000248098,,,
